loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_score,inq_last_6mths,open_acc,revol_util,total_acc,tot_cur_bal,total_rev_hi_lim,num_tl_op_past_12m,acc_now_delinq,pub_rec_bankruptcies
6000.0,36,16.99,3,10,2,50000.0,12,10.44,0.0,682.0,1.0,5.0,38.1,7.0,27309.0,8200.0,2.0,0.0,0.0
10400.0,36,17.99,3,0,1,43400.0,0,19.55,0.0,687.0,0.0,16.0,57.3,32.0,109774.0,22200.0,1.0,0.0,0.0
12000.0,36,12.79,2,10,0,80000.0,0,25.94,0.0,677.0,0.0,9.0,45.7,21.0,46255.0,26000.0,4.0,0.0,0.0
12000.0,36,9.75,1,3,1,40000.0,1,8.64,0.0,707.0,0.0,3.0,62.1,4.0,10178.0,16400.0,1.0,0.0,0.0
20000.0,60,15.31,2,3,2,89000.0,0,30.57,0.0,662.0,2.0,12.0,63.6,29.0,240100.0,21800.0,2.0,0.0,1.0
15000.0,36,9.16,1,10,2,56000.0,5,14.04,2.0,692.0,0.0,12.0,66.3,22.0,262785.0,27900.0,0.0,0.0,0.0
6000.0,36,12.99,2,1,0,29000.0,1,29.35,0.0,672.0,3.0,9.0,48.9,12.0,60404.0,18800.0,2.0,0.0,0.0
35000.0,36,8.39,1,3,1,80000.0,0,34.13,0.0,697.0,2.0,25.0,46.6,37.0,37948.0,63500.0,1.0,0.0,0.0
17000.0,36,12.79,2,10,1,115000.0,0,13.48,0.0,662.0,0.0,5.0,94.9,17.0,80014.0,41500.0,1.0,0.0,0.0
12000.0,36,5.32,0,10,2,96000.0,1,12.48,0.0,682.0,1.0,18.0,50.4,28.0,216508.0,34500.0,3.0,0.0,0.0
3000.0,36,12.88,2,10,1,65000.0,0,27.12,0.0,707.0,1.0,15.0,48.2,30.0,301596.0,42700.0,3.0,0.0,0.0
22000.0,60,26.24,4,5,0,62400.0,0,34.48,0.0,707.0,0.0,9.0,56.8,22.0,87199.0,26400.0,2.0,0.0,0.0
5000.0,36,14.49,2,0,0,45000.0,0,19.44,1.0,667.0,2.0,10.0,86.6,21.0,80606.0,4000.0,1.0,0.0,0.0
20000.0,36,5.32,0,10,2,138000.0,0,21.23,1.0,732.0,0.0,25.0,17.0,44.0,265854.0,103100.0,5.0,0.0,0.0
7200.0,36,11.48,1,10,2,35000.0,1,21.98,0.0,677.0,1.0,7.0,54.1,29.0,152462.0,13700.0,2.0,0.0,0.0
14000.0,36,8.39,1,10,1,109000.0,0,15.07,2.0,667.0,0.0,19.0,60.0,24.0,32101.0,32600.0,2.0,0.0,0.0
20000.0,60,16.99,3,3,2,57500.0,0,31.25,0.0,717.0,1.0,37.0,29.7,46.0,126849.0,52000.0,3.0,0.0,0.0
20000.0,36,9.8,1,3,0,90000.0,0,14.33,1.0,667.0,1.0,24.0,51.5,31.0,29663.0,34600.0,7.0,0.0,1.0
25000.0,36,8.39,1,10,2,78500.0,0,38.92,0.0,727.0,0.0,14.0,58.2,40.0,210126.0,56700.0,0.0,0.0,0.0
15000.0,36,8.39,1,3,0,90000.0,1,12.92,2.0,677.0,1.0,16.0,67.4,28.0,174012.0,18700.0,5.0,0.0,0.0
6025.0,36,12.79,2,2,0,86000.0,9,4.35,2.0,702.0,0.0,5.0,15.4,5.0,10963.0,2500.0,0.0,0.0,0.0
3000.0,36,25.88,5,3,0,105000.0,0,11.5,0.0,662.0,2.0,11.0,95.3,21.0,33867.0,17400.0,4.0,0.0,0.0
35000.0,60,20.75,4,5,2,85000.0,0,34.91,0.0,697.0,0.0,11.0,66.2,27.0,218336.0,44600.0,3.0,0.0,0.0
14425.0,36,22.45,4,2,0,50000.0,0,17.43,0.0,667.0,2.0,23.0,66.7,27.0,85316.0,7000.0,7.0,0.0,0.0
8000.0,36,9.16,1,3,0,60000.0,0,20.16,1.0,742.0,0.0,20.0,13.0,36.0,34052.0,34000.0,3.0,0.0,0.0
14400.0,36,14.46,2,10,1,40000.0,0,24.37,3.0,667.0,0.0,13.0,44.2,26.0,25205.0,23300.0,3.0,0.0,0.0
20000.0,36,9.75,1,10,0,70000.0,0,12.26,0.0,732.0,1.0,9.0,68.8,11.0,17819.0,12300.0,1.0,0.0,0.0
20000.0,60,11.47,1,10,2,58000.0,1,20.36,1.0,697.0,0.0,6.0,71.6,19.0,94124.0,25500.0,0.0,0.0,0.0
18025.0,36,20.75,4,10,0,41000.0,0,23.52,0.0,662.0,4.0,28.0,9.3,57.0,21801.0,32100.0,12.0,0.0,1.0
8800.0,36,10.49,1,3,2,84000.0,0,5.49,0.0,697.0,0.0,18.0,58.2,39.0,77223.0,11100.0,5.0,0.0,1.0
12000.0,60,11.99,2,0,0,122000.0,0,28.28,0.0,837.0,1.0,25.0,0.4,47.0,118265.0,72800.0,2.0,0.0,0.0
15000.0,36,8.49,1,10,2,60000.0,0,13.26,0.0,722.0,0.0,14.0,23.1,25.0,227738.0,27000.0,3.0,0.0,0.0
10000.0,36,9.75,1,2,0,64000.0,1,19.66,0.0,662.0,1.0,10.0,83.9,16.0,32341.0,27300.0,2.0,0.0,0.0
28700.0,60,14.85,2,8,2,69000.0,0,23.48,6.0,662.0,1.0,13.0,74.4,26.0,30322.0,8700.0,0.0,0.0,0.0
3350.0,36,10.75,1,7,0,65500.0,8,22.5,0.0,707.0,0.0,12.0,35.2,29.0,61521.0,34700.0,3.0,0.0,0.0
10000.0,36,7.99,0,3,2,86500.0,0,14.83,0.0,687.0,2.0,10.0,40.0,42.0,214783.0,19400.0,2.0,0.0,0.0
7200.0,36,8.39,1,-1,0,31000.0,1,19.05,1.0,662.0,0.0,7.0,86.7,21.0,22314.0,8800.0,0.0,0.0,0.0
18000.0,36,19.99,3,10,2,100000.0,1,13.44,0.0,677.0,1.0,12.0,72.6,27.0,226329.0,26400.0,3.0,0.0,0.0
10000.0,36,5.32,0,10,1,205000.0,0,5.29,0.0,732.0,0.0,21.0,10.0,43.0,149528.0,72000.0,4.0,0.0,0.0
10000.0,36,13.99,2,10,0,35000.0,1,26.58,0.0,702.0,0.0,23.0,41.3,28.0,150212.0,22700.0,4.0,0.0,0.0
5000.0,36,15.99,2,10,1,27000.0,0,20.36,1.0,672.0,0.0,7.0,51.2,24.0,85029.0,4500.0,1.0,0.0,0.0
15000.0,36,22.39,4,10,2,55000.0,0,19.92,2.0,672.0,0.0,13.0,34.2,24.0,115866.0,20500.0,6.0,0.0,0.0
5500.0,36,13.49,2,5,0,50000.0,0,10.59,0.0,667.0,0.0,8.0,54.1,13.0,17210.0,31800.0,2.0,0.0,1.0
15000.0,60,15.59,2,5,0,81000.0,11,12.62,0.0,667.0,0.0,7.0,63.1,16.0,41239.0,13700.0,2.0,0.0,0.0
5000.0,36,7.49,0,10,1,120000.0,2,25.23,0.0,737.0,0.0,15.0,7.2,39.0,444229.0,77700.0,5.0,0.0,0.0
25000.0,36,5.32,0,1,0,140000.0,0,11.32,0.0,797.0,0.0,6.0,47.6,11.0,30825.0,70500.0,0.0,0.0,0.0
15000.0,36,12.99,2,6,0,65000.0,0,20.2,0.0,677.0,1.0,12.0,48.3,22.0,40695.0,20300.0,4.0,0.0,1.0
20800.0,36,6.97,0,9,2,90000.0,0,17.6,0.0,792.0,0.0,11.0,32.4,24.0,744881.0,124700.0,1.0,0.0,0.0
25000.0,36,5.32,0,4,2,67000.0,0,17.0,0.0,717.0,0.0,8.0,80.3,21.0,211076.0,33700.0,0.0,0.0,0.0
6000.0,36,12.99,2,3,1,60000.0,0,17.88,1.0,662.0,0.0,14.0,49.9,21.0,189683.0,11900.0,3.0,0.0,1.0
7000.0,36,9.75,1,10,0,44000.0,0,16.72,0.0,662.0,0.0,6.0,62.0,12.0,12703.0,11000.0,0.0,0.0,0.0
35000.0,60,24.99,4,10,0,96816.0,0,16.26,0.0,692.0,0.0,13.0,65.6,16.0,26893.0,35600.0,3.0,0.0,0.0
18475.0,36,9.75,1,10,0,147000.0,0,1.45,0.0,667.0,0.0,6.0,71.0,14.0,286001.0,7300.0,0.0,0.0,0.0
12000.0,36,18.99,3,8,1,56000.0,1,22.03,2.0,692.0,2.0,14.0,55.9,27.0,381358.0,18500.0,5.0,0.0,0.0
5000.0,36,15.99,2,10,2,101000.0,0,4.17,0.0,687.0,3.0,13.0,7.1,20.0,388029.0,19300.0,8.0,0.0,0.0
6000.0,36,11.99,2,10,0,131000.0,1,21.84,0.0,697.0,0.0,16.0,62.9,34.0,43166.0,20000.0,5.0,0.0,0.0
